course_code,department_code,department_name,course_number,course_name,course_description,min_credits,max_credits,academic_year,terms
AE 3602,AE,Aerospace Engineering,3602,Incompressible Fluids,"This course covers the fundamentals of inviscid and viscous incompressible fluid dynamics. Topics presented will be considered from the following: fluid kinematics and deformation; integral conservation laws of mass, momentum and energy for finite systems and control volumes; differential conservation laws of mass, momentum and energy; the Navier-Stokes equations; the streamfunction and the velocity potential. Applications will be considered from the following topics: hydrostatics; incompressible, inviscid, irrotational (potential) flows; incompressible boundary layer flows; viscous incompressible steady internal and external flows; and dimensional analysis. Recommended background: differential equations (MA2051 or equivalent), dynamics (ES 2503, PH 2101 or equivalent), thermodynamics (ES 3001, PH 2101, CH 3510 or equivalent).",3.0,3.0,2021 - 2022 Academic Year,C
AE 3711,AE,Aerospace Engineering,3711,Aerodynamics,"This course introduces students to the aerodynamics of airfoils, wings, and aircraft in the subsonic and supersonic regimes. Topics covered include: prediction of aerodynamic forces (lift, drag) and moments, dynamic similarity, experimental techniques in aerodynamics, Kutta-Joukowski theorem, circulation, thin airfoil theory, panel methods, finite wing theory, subsonic compressible flow over airfoils, linearized supersonic flow, and viscous flow over airfoils. Recommended background: incompressible and compressible fluid dynamics (AE 3602, AE 3410 or equivalent).",3.0,3.0,2021 - 2022 Academic Year,B
AE 3712,AE,Aerospace Engineering,3712,Aerospace Structures,"Cat. I This course focuses on intermediate-level topics in stress analysis relevant to aerospace structures. Topics include: buckling under centric and eccentric loadings with and without lateral loads applied; torsion of solid circular and noncircular cross-sections; torsion of thin-walled multi-celled members; flexural shear flow in and shear center of thin-walled multi-celled members; bending stresses in beams with unsymmetric cross-sections; stresses under combined loadings; and three-dimensional states of stress. The laboratory component of this course provides testing and measurement experience related to buckling of columns under a variety of loadings and support conditions; and to the determination of the shear center and bending response of beams with unsymmetric cross-sections. Recommended background: differential equations (MA 2051 or equivalent), introductory aerospace structures (AE 2712 or equivalent.",3.0,3.0,2021 - 2022 Academic Year,"B,D"
AE 3713,AE,Aerospace Engineering,3713,Introduction To Aerospace Control Systems,"Cat. IThis course introduces feedback control systems analysis and design for applications to aircraft and spacecraft. Topics include: linear dynamical systems modeling of aircraft and spacecraft motion, including linearization; identification and transient response analysis of typical modes of motion; time- and frequency domain analysis; Bode plots; criteria for stability; design of stability augmentation and, attitude and orbital control systems using linear state feedback or PID control; numerical simulation of controlled and uncontrolled aircraft and spacecraft motion.Recommended background: ordinary differential equations (MA 2051 or equivalent), introductory dynamics (ES 2503, PH 2201 or equivalent), and linear algebra (MA 2071 or equivalent).Students may not receive credit for both AE/ME 3703 and AE 3713.",3.0,3.0,2021 - 2022 Academic Year,D
AE 4711,AE,Aerospace Engineering,4711,Fundamentals Of Air-Breathing Propulsion,"This course introduces the principles of operation of air-breathing engines, including gas-turbines (turbojets, turbofans, and turboprops), ramjets, and scramjets. Topics covered include: engine thrust and efficiency analysis; working principles and performance analysis of diffusers, compressors, combustors, and nozzles; parametric cycle analysis; effect of irreversibilities on performance. The topics covered are also relevant to the operation of gas-turbines used for power generation. Recommended background: thermodynamics (ES 3001, CH 3510, PH 2101 or equivalent), compressible fluid dynamics (AE/ME 3410 or equivalent). Students may not receive credit for both AE 4710 and AE 4711.",3.0,3.0,2021 - 2022 Academic Year,A
AE 4712,AE,Aerospace Engineering,4712,Structural Dynamics,"This course introduces the analysis of vibrations of flexible bodies encountered as elements of aircraft and space structures. Topics include: modeling of aerospace structures with lumped parameters using Newton’s Law and Lagrange’s equations, free- and forced- vibration response of single degree of freedom systems and multi-degree of freedom systems, design of simplified vibration absorption systems, dynamic testing, modal analysis for determining structural response of lumped and continuous systems. Recommended background: dynamics (ES 2503, PH 2201, PH2202 or equivalent), control (AE 3713 or equivalent), aerospace structures (AE 3712 or equivalent)",3.0,3.0,2021 - 2022 Academic Year,A
AE 4713,AE,Aerospace Engineering,4713,Spacecraft Dynamics And Control,"The course covers broad topics in spacecraft attitude dynamics, stability and control. The course includes a review of particle and two-body dynamics and introduction to rigid body dynamics. Orbital and attitude maneuvers are presented. Attitude control devices and momentum exchange techniques such as spinners, dual spinners, gravity gradient, and geomagnetic torques are presented. Attitude sensors/actuators are presented and the attitude control problem is introduced. Open-loop stability analysis for a variety of equilibrium conditions is discussed. Control using momentum exchange and mass expulsion (thrusters) devices is discussed. The analyses and designs will be implemented using scientific computing software such as MATLAB®. Recommended background: astronautics (AE 2713 or equivalent), dynamics (ES 2503, PH 2201 or equivalent), control (AE 3713 or equivalent).",3.0,3.0,2021 - 2022 Academic Year,C
AE 4717,AE,Aerospace Engineering,4717,Fundamentals Of Composite Materials,"This course provides an overview of the processing techniques and mechanical behavior of composite materials relevant to aerospace applications. Topics in this course may include: classification of composites; elasticity of composite materials; the effect of reinforcements on strength and toughness; bonding mechanisms of interfaces in composite; fabrication methods for polymer-matrix composite materials; viscoelasticity and creep of composites; advanced composites materials (bio-composites, nano-composites). Recommended background: introductory material science (ES 2001), and introductory stress analysis (AE 2712 or equivalent).",3.0,3.0,2021 - 2022 Academic Year,C
AE 4719,AE,Aerospace Engineering,4719,Rocket Propulsion,"This course provides a study of rocket propulsion systems for launch vehicles and spacecraft. Dynamics, performance, and optimization of rocket-propelled vehicles are presented. Performance and component analysis of chemical propulsion systems are covered including flight dynamics, vehicle staging, nozzle design, and thermochemistry of bipropellant and monopropellant thrusters. Different classes of electric thrusters are introduced along with the concept of optimal specific impulse. Recommended background: compressible fluid dynamics (AE 3410 or equivalent), thermodynamics (ES 3001, PH 2101, CH 3510 or equivalent)",3.0,3.0,2021 - 2022 Academic Year,A
AE 4723,AE,Aerospace Engineering,4723,Aircraft Dynamics And Control,"This course covers models of fixed-wing aircraft dynamics, and the design of aircraft control systems. Topics include: aircraft performance, longitudinal and lateral flight dynamics, simulation methodologies, natural modes of motion, static and dynamic stability, and aircraft control systems (such as autopilot design, flight path control, and automatic landing). Recommended background: controls (AE 3713 or equivalent), attitude and position kinematics (AE 4733 or equivalent).",3.0,3.0,2021 - 2022 Academic Year,C
AE 4733,AE,Aerospace Engineering,4733,"Guidance, Navigation And Communication","This course covers methods and current enabling technologies in the analysis, synthesis, and practice of aerospace guidance, navigation, and communications systems. Topics covered include: attitude- and position kinematics, inertial navigation systems, global satellite navigation systems, communication architectures for satellite navigation, tropospheric and ionospheric effects on radio-wave propagation, least squares estimation, the Kalman filter, and pursuit guidance. Recommended background: linear algebra (MA 2071 or equivalent), dynamics (ES 2503, PH 2201 or equivalent), and controls (AE 3713 or equivalent)",3.0,3.0,2021 - 2022 Academic Year,A
AE 4770,AE,Aerospace Engineering,4770,Aircraft Design,"This course introduces students to design of aircraft systems. Students complete a conceptual design of an aircraft in a term-long project. Students are exposed to the aircraft design process, and must establish design specifications, develop and analyze alternative designs, and optimize their designs to meet mission requirements. Students work together in teams to apply material learned in the areas of aerodynamics, aerospace materials, structures, propulsion, flight mechanics, and stability and control, to the preliminary design of an aircraft. The project requirements are selected to reflect real-life aircraft mission requirements, and teams are required to design systems which incorporate appropriate engineering standards and multiple realistic constraints. The teams present their design in a final report and oral presentation. Recommended background: aerodynamics (AE 3711 or equivalent), aerospace structures (AE 3712 or equivalent), air breathing propulsion (AE 4711 or equivalent), aircraft dynamics and control (AE 4723 or equivalent).",3.0,3.0,2021 - 2022 Academic Year,B
AE 4771,AE,Aerospace Engineering,4771,Spacecraft And Mission Design,"Cat. I This course introduces students to design of spacecraft and missions. Students are introduced to the process of designing a spacecraft and major subsystems to meet a specific set of objectives or needs. In addition, students will learn about different spacecraft subsystems and what factors drive their design. Students complete a term-long spacecraft design project conducted by teams. The project addresses orbital mechanics, the space environment, attitude determination and control, telecommunications, space structures, and propulsion, along with other spacecraft subsystems. The project requirements are selected to reflect real-life missions, and teams are required to design systems which incorporate appropriate engineering standards and multiple realistic constraints. The teams present their design in a final report and oral presentation. Recommended background: astronautics (AE 2713 or equivalent), space environments (AE/PH 2550), spacecraft dynamics and control (AE 4713 or equivalent), telecommunications (AE 4733),space structures (AE 3712 or equivalent), rocket propulsion (AE 4719 or equivalent)",3.0,3.0,2021 - 2022 Academic Year,B
AE 5031,AE,Aerospace Engineering,5031,Applied Computational Methods for Partial Differential Equations,"The course provides at an entry graduate level the theory and practice of finite difference and finite elements methods for partial differential equations (PDEs) encountered in fluid dynamics and solid mechanics. Topics covered include: classification of partial PDEs and characteristics; direct and iterative solution methods for solution of algebraic systems; finite difference and finite element spatial discretization; temporal discretization; consistency, stability and error analysis; explicit and implicit finite differencing and finite element schemes for linear hyperbolic, parabolic, elliptic PDEs. The course requires completion of several projects using MATLAB. Students cannot receive credit for this course if they have taken AE/ME 5108 “Computational Fluid Dynamics”.",2.0,2.0,2021 - 2022 Academic Year,A
AE 5032,AE,Aerospace Engineering,5032,Aerospace Engineering Seminar,"The Seminar is a degree requirement for all graduate students and is offered during A, B, C, and D term. The Seminar consists of presentations by experts on technical and broader professional topics. Presentations are also offered by graduate students on topics related to their directed research, dissertation, or industrial experiences. The Seminar is offered in pass/fail mode based on attendance.",0.0,0.0,2021 - 2022 Academic Year,"A,B,C,D"
AE 5098,AE,Aerospace Engineering,5098,Directed Research,These courses are offered by aerospace engineering faculty and cover diverse topics that range from 1 to 8 credits and may be completed in one or multiple terms. These courses provide M.S. and B.S./M.S. students the opportunity to gain research experience on topics of their interest. The required deliverables for successful completion of Directed Research are defined by the faculty offering the course and take into account the credits and topic involved. (Prerequisite: consent of faculty offering the Directed Research.),0.0,0.0,2021 - 2022 Academic Year,B
AE 5131,AE,Aerospace Engineering,5131,Incompressible Fluid Dynamics,"This course presents topics in incompressible fluid dynamics at the introductory graduate level. Topics are chosen from: continuum fluids; kinematics and deformation for Newtonian fluids; integral and differential form of the mass conservation, momentum, and energy equations; potential flows; unidirectional steady incompressible viscous flows; unidirectional transient incompressible viscous flows; boundary layers; vortical flows. Students cannot receive credit for this course if they have taken AE/ME 5101 “Fluid Dynamics” or AE/ME 5107 “Applied FluidDynamics.”",2.0,2.0,2021 - 2022 Academic Year,C
AE 5132,AE,Aerospace Engineering,5132,Compressible Fluid Dynamics,"This course presents applications of compressible fluid dynamics at an introductory graduate level. Topics are chosen from: conservation laws; propagation of disturbances; compressible flow with friction; method of characteristics, analysis and design of supersonic nozzles, diffusers, and inlets; transonic and supersonic thin-airfoil theory; three-dimensional compressible flows; compressible boundary layers; hypersonic flows; unsteady compressible flows. Students cannot receive credit for this course if they have taken AE 5093 ST: Applied Compressible Fluid Dynamics.",2.0,2.0,2021 - 2022 Academic Year,D
AE 5133,AE,Aerospace Engineering,5133,Kinetic Theory of Gases and Applications,The course presents kinetic theory of gases and its application to equilibrium flows and nonequilibrium flows at the introductory graduate level. Fundamental topics are chosen from: equilibrium kinetic theory; binary collisions; the Boltzmann equation; transport theory and equations. Application topics are chosen from: free molecular aerodynamics; shocks; non equilibrium flows. Students cannot receive credit for this course if they have taken AE/ME 5102 “Advanced Gas Dynamics”.,2.0,2.0,2021 - 2022 Academic Year,A
AE 5232,AE,Aerospace Engineering,5232,Spacecraft Propulsion,"This course introduces concepts needed to evaluate the performance of the most commonly used electric and chemical spacecraft propulsion systems. Fundamental topics in electric propulsion include plasma generation and ion acceleration, magnetic field design, and beam neutralization. Applications include electrostatic ion and Hall thrusters. Fundamental topics in chemical propulsion include propellant thermochemistry and ideal performance. Applications include bipropellant and monopropellant chemistry, catalyst-bed, and nozzle design considerations. Discussion of each class of thruster will be supplemented with specific examples of flight hardware. Students cannot receive credit for this course if they have taken AE/ME 5111 “Spacecraft Propulsion”.",2.0,2.0,2021 - 2022 Academic Year,C
AE 5233,AE,Aerospace Engineering,5233,Combustion,This course introduces the principles that govern the conversion of chemical energy to thermal energy in reacting flows or combustion. Topics will be chosen from: chemical thermodynamics; chemical kinetics; transport phenomena; conservation equations; deflagrations; detonations; and diffusion flames. The course will also include discussions on energy landscape; combustion in propulsion and power generation devices; and pollutant formation. Students cannot receive credit for this course if they have taken AE5093 ST “Principles of Combustion”.,2.0,2.0,2021 - 2022 Academic Year,D
AE 5234,AE,Aerospace Engineering,5234,Sustainable Energy Systems,"The course provides an introduction to sustainable energy systems, outlining the challenges in meeting the energy needs of humanity and exploring possible solutions. Specific topics include: the current energy infrastructure; historical energy usage and future energy needs; electricity generation from the wind; ocean energy (marine hydrokinetic energy; wave energy); tethered energy systems, energy for transportation; fuel cells; solar-photovoltaic systems; geo-thermal and solar-thermal energy; energy storage; and engineering economics. Students cannot receive credit for this course if they have taken AE/ME 5105 “Renewable Energy”.",2.0,2.0,2021 - 2022 Academic Year,A
AE 5331,AE,Aerospace Engineering,5331,Linear Control Systems,"This course covers analysis and synthesis of control laws for linear dynamical systems.Fundamental concepts including canonical representations, the state transition matrix, and the properties of controllability and observability will be discussed. The existence and synthesis of stabilizing feedback control laws using pole placement and linear quadratic optimal control will be discussed. The design of Luenberger observers and Kalman filters will be introduced. Examples pertaining to aerospace engineering, such as stability analysis and augmentation of longitudinal and lateral aircraft dynamics, will be considered. Assignments and term project (if any) will focus on the design, analysis, and implementation of linear control for current engineering problems. The use of Matlab®/Simulink® for analysis and design will be emphasized. Recommended background: Familiarity with Matlab®. Students cannot receive credit for this course if they have taken AE/ME 5220 “Control of Linear Dynamical Systems”.",2.0,2.0,2021 - 2022 Academic Year,C
AE 5332,AE,Aerospace Engineering,5332,Nonlinear Control Systems,"Overview of stability concepts and examination of various methods for assessing stability such as linearization and Lyapunov methods. Introduction to various design methods based on linearization, sliding modes, adaptive control, and feedback linearization. Demonstration and performance analysis on engineering systems such as flexible robotic manipulators, mobile robots, spacecraft attitude control and aircraft control systems. Theoretical foundations of machine learning via adaptive functional estimation of dynamical systems. Control synthesis and analysis is performed using Matlab®/Simulink®. Prerequisites: Fluency with the theory of linear dynamical systems and control (AE 5331 or similar). Fluency with Matlab®. Students cannot receive credit for this course if they have taken AE/ME 5221 “Control of Nonlinear Dynamical Systems”.",2.0,2.0,2021 - 2022 Academic Year,D
AE 5335,AE,Aerospace Engineering,5335,Autonomous Aerial Vehicles,"This course discusses the foundations of autonomy of aerial vehicles including fixed-wing aircraft and quadrotor aircraft. Topics covered include: localization using inertial sensors, GPS, and computer vision; extended Kalman filtering for localization; trajectory planning; feedback guidance for trajectory tracking; and low-level autopilot control design. Whereas this course will review aircraft dynamics, familiarity with this topic at an undergraduate level is beneficial. Prerequisites: dynamics and control of linear systems (AE 5331 or similar); fluency with MATLAB or Python programming. Students cannot receive credit for this course if they have taken AE 5224 “Air Vehicle Dynamics and Control”.",2.0,2.0,2021 - 2022 Academic Year,B
AE 5431,AE,Aerospace Engineering,5431,Solid Mechanics for Aerospace Structures (2,This course is an introductory graduate level course. Fundamental topics will be chosen from the following: three-dimensional states of stress; measures of strain; plane stress and plane strain; thermoelasticity; Airy stress function; and energy methods. Applied topics will be chosen from the following: bending and shear stresses on unsymmetric cross-sections; bending of composite beams; bending of curved beams; torsion of thin-walled noncircular cross sections; and failure criteria. Students cannot receive credit for this course if they have taken AE/ME 5380 “Foundations of Elasticity” or AE/ME 5381 “Applied Elasticity”.,2.0,2.0,2021 - 2022 Academic Year,C
AE 5432,AE,Aerospace Engineering,5432,Composite Materials,"This course covers the anisotropic constitutive behavior and micromechanics of composite materials, and the mechanics of composite structures at an introductory graduate level. Topics covered will be chosen from: classification of composites (reinforcements and matrices) anisotropic elasticity, composite micromechanics, effect of reinforcement on toughness and strength of composites, laminate theory, statics and buckling of laminated beams and plates, statics of laminated shells, residual stresses and thermal effects in laminates. Students cannot receive credit for this course if they have taken AE 5383 “Composite materials”.",2.0,2.0,2021 - 2022 Academic Year,B
AE 5434,AE,Aerospace Engineering,5434,Computational Solid Mechanics,This course presents finite element methods with applications to structures and structural dynamics at introductory graduate level. It focuses on linear elasticity and topics covered will be chosen from: introduction on numerical methods in solids mechanics; variational methods of approximation; formulation of finite elements and interpolation functions; assembly and solution processes; isoparametric formulation; stress recovery procedures; locking phenomenon; and dynamic problems. The course requires completion of several FEM projects and knowledge of a computer programming language.,2.0,2.0,2021 - 2022 Academic Year,D
AR 1100,AR,Art,1100,Essentials Of Art,"Cat. IThis course provides an introduction to the basic principles of two and three-dimensionalvisual organization. The course focuses on graphic expression, ideadevelopment, and visual literacy. Students will be expected to master basicrendering skills, perspective drawing, concept art, and storyboarding throughtraditional and/or computer-based tools.",3.0,3.0,2021 - 2022 Academic Year,"A,B,C,D"
AR 1101,AR,Art,1101,Digital Imaging And Computer Art,"Cat. IThis course focuses on the methods, procedures and techniques of creating andmanipulating images through electronic and digital means. Students will developan understanding of image alteration. Topics may include color theory, displays,modeling, shading, and visual perception.Recommended background: AR 1100.",3.0,3.0,2021 - 2022 Academic Year,"A,B,C,D"
AR 1111,AR,Art,1111,Introduction To Art History,"Cat. IHow do we understand a work of art? Through readings and the study of objectsat the Worcester Art Museum, the student will survey the major developments inworld art and be introduced to various critical perspectives in art history. Studentswill learn how art historians work with primary materials and formulatearguments. No previous knowledge of art is required. (Formerly HU 1014.)",3.0,3.0,2021 - 2022 Academic Year,A
AR 2101,AR,Art,2101,3d Modeling I,"Cat. I 3D modeling is concerned with how to render created forms in a virtual environment. This course covers 3D modeling applications in video game development, film production, product design and fine art. Topics may include creating and armature, modeling organic and hard surfaces and sculpting using traditional techniques applied to a 3D model. Students will create works suitable for presentation in professional quality portfolio. Recommended background: AR1100 and AR1101.",3.0,3.0,2021 - 2022 Academic Year,"A,C"
AR 2111,AR,Art,2111,Modern Art,"The successive phases of modern art, especially painting, are examined in light of the late-19th-century break with the 600-year old tradition of representation. Topics covered include: non-objective art and abstraction—theory and practice, primitivism in modern art, surrealism and the irrational, the impact of photography on modern painting, cubism and collage, regionalism and abstract expressionism as American art forms, Pop art and popular culture, and the problem of concept versus representation in art. (Formerly AR 2300.)",3.0,3.0,2021 - 2022 Academic Year,D
AR 2114,AR,Art,2114,"Modern Architecture In The American Era, 1750-2001 And Beyond","This course studies, in a non-technical way, America’s buildings and places, in the context of world architecture in modern times. The history of American architecture was shaped by the forces that shaped America, from its political emergence in the eighteenth century to the post-9/11 era. These forces include dreams of social and spiritual perfection; a tight and conflicted relation with nature; and the rise and spread of industrial capitalism. The same forces created the Modern Movement in architecture. How are modernism and American architecture interrelated? Illustrated lectures, films, and tours of Worcester architecture explore the question while training students in the methods of architectural history and criticism. Students who have taken AR 2113, Topics in 19th- and 20th-Century Architecture, since the 2000-2001 academic year MAY NOT take AR 2114 for credit.",3.0,3.0,2021 - 2022 Academic Year,B
AR 2115,AR,Art,2115,Topics in Architecture since 1960,"This course offers a detailed overview of the history of architecture between the consolidation of modern architecture in standard architectural practice and the present period of pluralism. Topics covered will include: modernism and its critique in the developing world; Louis I. Kahn’s and Robert Venturi’s critiques of modernist architecture culture; the High-Tech movement; utopian alternatives to the modernist city; the return of pre-modern urbanism; Critical Regionalism; the rise of Postmodernism 1970-80; the developer-led architectural boom of the 1980s; “Deconstructivism” and critical dissolution of rationalist form; the introduction of CAD in architectural design and its impact on the “blob architecture” of Frank Gehry and others; the development of global models of architectural practice; sustainable architecture and urbanism; global developments in other, related design fields and their consumer culture. Recommended background: AR 2114.",3.0,3.0,2021 - 2022 Academic Year,D
AR 2202,AR,Art,2202,Figure Drawing,"The focus of this course is in study of representational figure drawing. This course will cover drawing techniques, applied to study from a live model. Topics covered will be sight size measurement, study of form and light, copying from master drawings and applying these lessons to weekly sessions with a live model. Each class will feature a demonstration on the topic followed by individual critique and study.Recommended Background: AR1100",3.0,3.0,2021 - 2022 Academic Year,C
AR 2222,AR,Art,2222,2d Animation I,"Cat. I. 2D Animation I teaches students how to draw, pose, breakdown and in-between characters for 2D animation, focusing on weight, balance, timing, and movement to achieve well-structured and fluid animation. Lectures and projects are conducted to train students in the twelve classical animation principles using digital 2D media. Projects and lectures are designed to practice the fundamentals of traditional frame-by-frame and hand-drawn character animation. Recommended background: Basic knowledge of figure drawing (AR 2202) and digital art software (AR 1101) is recommended.",3.0,3.0,2021 - 2022 Academic Year,"B,C"
AR 2301,AR,Art,2301,Graphic Design,"This course introduces design principles and their application to create effective forms of graphic communication. The students will learn the fundamentals of visual communication and will work on projects to analyze, organize, and solve design problems. Topics may include: the design process; figure/ground; shape; dynamic balance; Gestalt principles; typography; layout and composition; color; production and presentation in digital formats.",3.0,3.0,2021 - 2022 Academic Year,"A,C"
AR 2333,AR,Art,2333,3d Animation I,"Cat. I 3D Animation I teaches students how to use 3D animation software to apply classical animation principles into 3D work . Lectures focus on creating organic and compelling character animation through body mechanics, weight, and dynamic posing in addition to exposing students to learning how to think about character acting and staging within a 3D environment . Recommended background: Basic knowledge digital art software (AR 1101) is recommended. Suggested background: Basic knowledge of animation (IMGD/AR 2222).",3.0,3.0,2021 - 2022 Academic Year,"A,C"
AR 2401,AR,Art,2401,Video Production,"This course will introduce students to concepts and techniques for live action digital filmmaking. Topics will include constructing a visual narrative, principles of cinematography, visual and audio editing, working with actors, and the stylistic elements of various genres of filmmaking. Recommended background: Basic knowledge of the history and theory of film (HU 2251 or equivalent).",3.0,3.0,2021 - 2022 Academic Year,"A,D"
AR 2700,AR,Art,2700,Digital Painting,"Cat. I This course covers painting techniques as applied to texturing a 3D asset or illustration/conceptual art. Topics include are color theory, study of form, lighting, applying traditional painting ideas to the digital format, character design, generation of ideas and a history of digital painting. Each class features a demonstration on the topic followed by individual critique and study. Students work towards a final project that may be suitable for an Art portfolio. Recommended background: AR 1101, AR 2202",3.0,3.0,2021 - 2022 Academic Year,A
